Name,Info1,Info2,Discount %,Price,Rating,Release
Skul: The Hero Slayer,,,-50%,"R$ 29,99",91.63%,Jan 2021
The Red Strings Club,,,-75%,"R$ 11,74",91.57%,Jan 2018
Heat Signature,,,-60%,"R$ 11,19",91.57%,Sep 2017
Wingspan,,,-50%,"R$ 29,99",91.45%,Sep 2020
IRMÃO Grande & Brasileiro 2,,,-65%,"R$ 6,99",91.40%,Oct 2021
Loop Hero,,,-67%,"R$ 15,50",91.32%,Mar 2021
LIMBO,,,-90%,"R$ 3,70",91.29%,Aug 2011
Gato Roboto,,,-75%,"R$ 6,62",91.19%,May 2019
GORN,,,-50%,"R$ 29,99",91.16%,Jul 2019
Orcs Must Die! 2,,,-75%,"R$ 7,24",91.06%,Jul 2012
HUNTDOWN,,,-80%,"R$ 11,99",90.93%,May 2021
Sins of a Solar Empire®: Rebellion,,,-70%,"R$ 32,39",90.85%,Jun 2012
Lords of the Realm II,,,-80%,"R$ 2,09",90.84%,Oct 1996
SEUM: Speedrunners from Hell,,,-60%,"R$ 17,99",90.83%,Jul 2016
Kiwi Clicker - Juiced Up,,,-50%,"R$ 8,49",90.78%,Jul 2022
Super Amazing Wagon Adventure,,,-66%,"R$ 3,56",90.72%,Oct 2013
Legend of Grimrock,Week Long Deal,"2-year low: R$ 6,99",-80%,"R$ 9,39",90.67%,Apr 2012
Brigador: Up-Armored Edition,,,-64%,"R$ 16,55",90.56%,Jun 2016
APE OUT,,,-75%,"R$ 11,74",90.55%,Feb 2019
Rogue Legacy,,,-80%,"R$ 9,39",90.53%,Jun 2013
Race The Sun,,,-75%,"R$ 8,24",90.50%,Dec 2013
One Way Heroics,,,-69%,"R$ 1,85",90.50%,Feb 2014
Darkest Dungeon®,,,-85%,"R$ 11,09",90.42%,Jan 2016
Hero of the Kingdom,Week Long Deal,"2-year low: R$ 2,39",-85%,"R$ 3,97",90.11%,Dec 2012
Spelunky,,,-75%,"R$ 6,99",89.85%,Aug 2013
Siralim Ultimate,,,-50%,"R$ 29,99",89.85%,Dec 2021
