Name,Info1,Info2,Discount %,Price,Rating,Release
Collapse,Week Long Deal,"2-year low: R$ 3,69",-75%,"R$ 14,99",69.91%,Sep 2008
Truberbrook / Trüberbrook,,,-95%,"R$ 4,44",69.89%,Mar 2019
Conflict Desert Storm™,,,-86%,"R$ 3,06",69.40%,Sep 2002
Tom Clancy’s The Division™,,,-85%,"R$ 13,49",69.33%,Mar 2016
Order of War™,,,-85%,"R$ 3,73",69.32%,Sep 2009
Rogue's Tale,,,-50%,"R$ 11,75",69.23%,Mar 2014
Black Future '88,,,-90%,"R$ 5,99",69.18%,Nov 2019
TT Isle of Man: Ride on the Edge,,,-80%,"R$ 9,59",69.13%,Mar 2018
Mirror Maker,,,-60%,"R$ 2,79",68.99%,Jan 2019
Gods Will Be Watching,,,-80%,"R$ 6,59",68.93%,Jul 2014
INDUSTRIA,,,-70%,"R$ 17,99",68.88%,Sep 2021
There Is No Light: Enhanced Edition,,,-50%,"R$ 29,99",68.85%,Sep 2022
Silver Chains,,,-95%,"R$ 3,69",68.80%,Aug 2019
Rogue Lords,,,-70%,"R$ 14,99",68.79%,Sep 2021
Eternal Edge +,,,-90%,"R$ 2,89",68.75%,May 2022
TOKYO GHOUL:re [CALL to EXIST],,,-90%,"R$ 15,99",68.75%,Nov 2019
Hero Siege,,,-80%,"R$ 5,29",68.73%,Jan 2014
Immortals Fenyx Rising,,,-85%,"R$ 28,49",68.66%,Dec 2022
Feudal Alloy,,,-90%,"R$ 3,29",68.46%,Jan 2019
Trek to Yomi,,,-60%,"R$ 23,99",68.42%,May 2022
The Park®,Week Long Deal,"all-time low: R$ 8,99 at -70%",-60%,"R$ 16,79",68.41%,Oct 2015
Assassin's Creed Valhalla,,,-80%,"R$ 39,99",68.29%,Dec 2022
March of the Living,,,-50%,"R$ 14,49",68.23%,Apr 2016
Warbanners,Week Long Deal,"all-time low: R$ 7,59 at -80%",-70%,"R$ 11,39",68.15%,Oct 2017
MX vs ATV Legends,Week Long Deal,"all-time low: R$ 30,00 at -60%",-50%,"R$ 37,50",68.01%,Jun 2022
Children of Zodiarcs,,,-70%,"R$ 8,39",67.95%,Jul 2017
Particula,,,-90%,"R$ 1,74",67.91%,Feb 2015
Distant Worlds 2,,,-50%,"R$ 67,49",67.88%,Mar 2022
RONIN,,,-80%,"R$ 8,39",67.79%,Jun 2015
Tinkertown,,,-75%,"R$ 13,12",67.77%,Jun 2023
BELOW,,,-75%,"R$ 11,87",67.73%,Dec 2018
Toilet Simulator 2020,,,-50%,"R$ 1,74",67.48%,Jan 2019
Toby: The Secret Mine,,,-90%,"R$ 1,99",67.44%,Oct 2015
Men of War: Condemned Heroes,,,-85%,"R$ 3,97",67.33%,Apr 2012
Killing Room,,,-60%,"R$ 18,79",67.29%,Oct 2016
Trigon: Space Story,,,-70%,"R$ 11,39",67.18%,Apr 2022
Nigate Tale,,,-61%,"R$ 14,81",67.16%,Apr 2021
3089 -- Futuristic Action RPG,,,-75%,"R$ 5,87",67.15%,Jan 2014
Ninja Stealth,,,-90%,"R$ 1,74",66.98%,Jun 2016
Guns n Zombies,Week Long Deal,"all-time low: R$ 1,59 at -90%",-89%,"R$ 2,91",66.97%,Oct 2014
STAY,,,-90%,"R$ 2,48",66.91%,May 2018
Ludus,Week Long Deal,"all-time low: R$ 8,27 at -60%",-65%,"R$ 11,54",66.83%,Feb 2020
Rogue Stormers,,,-80%,"R$ 7,39",66.63%,Sep 2016
Sacred Citadel,Week Long Deal,current 2-year low,-75%,"R$ 4,99",66.58%,Apr 2013
HUMANKIND™,,,-75%,"R$ 39,75",66.57%,Aug 2021
Road 96: Mile 0,,,-70%,"R$ 19,50",66.56%,Apr 2023
Conan Unconquered,Week Long Deal,"all-time low: R$ 13,94 at -70%",-60%,"R$ 23,99",66.55%,May 2019
Lust for Darkness,,,-90%,"R$ 2,79",66.53%,Jun 2018
Townsmen - A Kingdom Rebuilt,Week Long Deal,"2-year low: R$ 8,24",-80%,"R$ 10,99",66.52%,Feb 2019
Blood Omen 2: Legacy of Kain,,,-86%,"R$ 4,05",66.26%,Mar 2002
Crypto Mining Simulator,Week Long Deal,"all-time low: R$ 1,69 at -90%",-70%,"R$ 5,09",66.08%,Apr 2021
Trucks & Trailers,,,-80%,"R$ 3,21",66.04%,Jun 2011
LARA CROFT AND THE TEMPLE OF OSIRIS™,,,-85%,"R$ 12,52",66.03%,Dec 2014
Shattered Planet,,,-90%,"R$ 4,69",65.73%,Jul 2014
OUTRIDERS,,,-50%,"R$ 45,45",65.58%,Apr 2021
We Are The Dwarves,,,-95%,"R$ 17,26",65.50%,Feb 2016
Zengeon,,,-76%,"R$ 9,11",65.28%,Jun 2019
ENDLESS™ Dungeon,,,-50%,"R$ 79,95",65.19%,Oct 2023
Infectonator: Survivors,,,-90%,"R$ 3,29",65.17%,Aug 2016
Just Cause,,,-86%,"R$ 3,06",65.03%,Sep 2006
Anima: Gate of Memories,,,-84%,"R$ 13,29",64.92%,Jun 2016
Pixel Piracy,,,-80%,"R$ 9,39",64.66%,Apr 2015
Omikron: The Nomad Soul,,,-86%,"R$ 4,88",64.55%,Nov 1999
Survivor Squad,,,-80%,"R$ 2,09",64.16%,Nov 2013
Might and Magic: Heroes VII – Trial by Fire,,,-75%,"R$ 22,49",64.09%,Aug 2016
Mysteria ~Occult Shadows~,,,-80%,"R$ 8,39",64.08%,Sep 2020
Stronghold: Warlords,,,-90%,"R$ 7,99",64.04%,Mar 2021
Legacy of Kain: Soul Reaver 2,,,-86%,"R$ 4,05",63.99%,Nov 2001
Cardaclysm,,,-90%,"R$ 4,69",63.97%,Feb 2021
V-Rally 4,,,-90%,"R$ 6,99",63.81%,Sep 2018
Gift Girl,,,-60%,"R$ 2,79",63.28%,Mar 2020
Men of War: Vietnam,,,-85%,"R$ 3,97",63.06%,Sep 2011
Weird Worlds: Return to Infinite Space,,,-80%,"R$ 2,17",63.04%,Mar 2013
Train Fever,,,-90%,"R$ 5,99",62.97%,Sep 2014
Darksburg,,,-75%,"R$ 7,24",62.90%,Sep 2020
Blightbound,,,-60%,"R$ 23,99",62.84%,Jul 2021
Monster Energy Supercross - The Official Videogame 4,Week Long Deal,"all-time low: R$ 17,59 at -80%",-85%,"R$ 22,42",62.72%,Mar 2021
Project AURA,,,-75%,"R$ 7,24",62.26%,Apr 2018
The Swindle,,,-85%,"R$ 4,19",61.84%,Jul 2015
The Swords of Ditto: Mormo's Curse,,,-80%,"R$ 9,39",61.51%,Apr 2018
Abyss Odyssey,,,-80%,"R$ 5,59",61.46%,Jul 2014
HERO DEFENSE,,,-95%,"R$ 4,44",61.42%,May 2016
Shoppe Keep,,,-66%,"R$ 3,70",61.04%,May 2016
Just Cause 4 Reloaded,,,-95%,"R$ 14,93",60.95%,Dec 2018
Brewpub Simulator,,,-54%,"R$ 34,93",60.77%,Jul 2023
Dungeon Hearts,,,-67%,"R$ 3,46",60.75%,Mar 2013
Depraved,,,-90%,"R$ 3,79",60.57%,Sep 2019
Monsti,,,-50%,"R$ 1,74",60.39%,Sep 2016
SWORD ART ONLINE Alicization Lycoris,Week Long Deal,"all-time low: R$ 25,58 at -84%",-81%,"R$ 56,98",60.32%,Jul 2020
Mirror Party,,,-70%,"R$ 2,09",60.15%,Dec 2021
Overcast - Walden and the Werewolf,,,-90%,"R$ 1,74",60.11%,Apr 2014
